Bug_ID,Module,Bug_Type,Crash,Affected_Users,Reports_Per_Day,Reproducible,Device,Severity
1,File Upload,Document Upload Timeout,No,495,99,Sometimes,Desktop,Medium
2,Checkout,Coupon Message Delay,No,68,8,Rarely,Web,Low
3,Authentication,Crash,Yes,55986,377,Always,Mobile,Critical
4,Profile,Avatar Alignment Issue,No,7,2,Rarely,Desktop,Low
5,Notifications,Notification Delay,No,748,12,Rarely,Desktop,Medium
6,Cart,Crash,Yes,22222,875,Always,Desktop,Critical
7,Cart,Cart Refresh Failure,No,7668,103,Sometimes,Desktop,High
8,Checkout,Checkout Timeout,No,12888,159,Sometimes,Web,High
9,Login,Login Animation Delay,No,29,10,Sometimes,Mobile,Low
10,Checkout,Checkout Loading Issue,No,234,88,Sometimes,Web,Medium
11,Database,Crash,Yes,93562,753,Always,Web,Critical
12,Search,Search Icon Issue,No,57,9,Rarely,Desktop,Low
13,Database,Database Error,No,2054,51,Sometimes,Web,High
14,Profile,Crash,No,134411,985,Always,Tablet,Critical
15,Authentication,Authentication Error,Yes,1310,292,Always,Mobile,High
16,Database,Database Error,No,5365,193,Sometimes,Web,High
17,Authentication,Authentication Error,Yes,15170,79,Always,Mobile,High
18,Database,Crash,Yes,26929,857,Always,Web,Critical
19,Authentication,Crash,Yes,22859,848,Always,Mobile,Critical
20,Payment,Payment Failure,Yes,5894,50,Always,Mobile,High
21,Authentication,Session Timeout,No,412,60,Always,Mobile,Medium
22,Reports,Crash,No,134144,874,Always,Tablet,Critical
23,Payment,Receipt Formatting Issue,No,14,11,Sometimes,Mobile,Low
24,Authentication,Crash,Yes,22525,876,Always,Mobile,Critical
25,Payment,Crash,Yes,24534,658,Always,Mobile,Critical
26,Authentication,Login Hint Display Issue,No,57,15,Sometimes,Mobile,Low
27,Notifications,Notification Sound Delay,No,19,16,Rarely,Web,Low
28,Login,Remember Me UI Issue,No,49,17,Sometimes,Mobile,Low
29,Login,Login Failure,No,19869,259,Always,Mobile,High
30,Cart,Quantity Update Delay,No,191,86,Sometimes,Web,Medium
31,Database,Crash,Yes,62626,957,Always,Web,Critical
32,Authentication,Authentication Message Delay,No,82,18,Sometimes,Mobile,Low
33,Login,Crash,Yes,2229,654,Always,Web,Critical
34,Notifications,Reminder Failure,No,5852,84,Sometimes,Desktop,High
35,Login,Crash,Yes,29597,957,Always,Web,Critical
36,Checkout,Checkout Delay,No,250,35,Sometimes,Web,Medium
37,File Upload,Crash,No,245252,499,Always,Desktop,Critical
38,Profile,Profile UI Delay,No,42,2,Rarely,Desktop,Low
39,Payment,Crash,Yes,12000,850,Always,Mobile,Critical
40,API,Minor API Delay,No,16,3,Sometimes,Mobile,Low
41,Login,Crash,Yes,296186,846,Always,Web,Critical
42,API,Crash,Yes,24522,785,Always,Desktop,Critical
43,Database,Crash,Yes,215629,799,Always,Web,Critical
44,API,Crash,Yes,24522,676,Always,Desktop,Critical
45,API,API Response Delay,No,464,89,Sometimes,Web,Medium
46,Profile,Crash,No,14411,568,Always,Tablet,Critical
47,Reports,Export Failure,No,8788,151,Sometimes,Tablet,High
48,Database,Database Error,No,1132,163,Sometimes,Web,High
49,Search,Crash,No,144411,356,Always,Tablet,Critical
50,Checkout,Checkout UI Alignment,No,96,4,Rarely,Web,Low
51,File Upload,Upload Progress Stuck,No,950,96,Sometimes,Desktop,Medium
52,Cart,Cart Loading Delay,No,698,12,Sometimes,Web,Medium
53,API,API Response Formatting,No,35,17,Sometimes,Mobile,Low
54,Checkout,Checkout Timeout,No,3095,100,Sometimes,Web,High
55,Database,Crash,Yes,6485,986,Always,Web,Critical
56,Cart,Cart Animation Issue,No,61,5,Rarely,Web,Low
57,Search,Crash,No,14441,589,Always,Tablet,Critical
58,Login,Login Page Alignment Issue,No,72,19,Sometimes,Mobile,Low
59,Payment,Crash,Yes,9876,644,Always,Mobile,Critical
60,Login,Login Failure,No,18221,247,Always,Mobile,High
61,File Upload,File Validation Delay,No,726,48,Sometimes,Desktop,Medium
62,Profile,Profile Sync Failure,No,11195,208,Sometimes,Tablet,High
